x,Адаптивный шаг,Фиксированный шаг,Точное решение,Ошибка адапт.,Ошибка фикс.
3.4661466679e-01,-9.9991785035e-01,0.0000000000e+00,-9.9991785035e-01,4.7590820174e-12,9.9991785035e-01
3.4852966679e-01,-9.9609548947e-01,0.0000000000e+00,-9.9609548948e-01,4.8357984284e-12,9.9609548948e-01
3.5044466679e-01,-9.9228774024e-01,0.0000000000e+00,-9.9228774025e-01,4.9151793746e-12,9.9228774025e-01
3.5235966679e-01,-9.8849454680e-01,0.0000000000e+00,-9.8849454681e-01,5.0025539267e-12,9.8849454681e-01
3.5427466679e-01,-9.8471585350e-01,0.0000000000e+00,-9.8471585351e-01,5.0799364715e-12,9.8471585351e-01
3.5618966679e-01,-9.8095160492e-01,0.0000000000e+00,-9.8095160493e-01,5.1562087933e-12,9.8095160493e-01
3.5810466679e-01,-9.7720174584e-01,0.0000000000e+00,-9.7720174584e-01,5.2381432525e-12,9.7720174584e-01
3.6001966679e-01,-9.7346622125e-01,0.0000000000e+00,-9.7346622125e-01,5.3204107786e-12,9.7346622125e-01
3.6193466679e-01,-9.6974497635e-01,0.0000000000e+00,-9.6974497636e-01,5.3982374126e-12,9.6974497636e-01
3.6384966679e-01,-9.6603795657e-01,0.0000000000e+00,-9.6603795657e-01,5.4722892884e-12,9.6603795657e-01
3.6576466679e-01,-9.6234510752e-01,0.0000000000e+00,-9.6234510752e-01,5.5512261454e-12,9.6234510752e-01
3.6767966679e-01,-9.5866637502e-01,0.0000000000e+00,-9.5866637503e-01,5.6268323334e-12,9.5866637503e-01
3.6959466679e-01,-9.5500170513e-01,0.0000000000e+00,-9.5500170514e-01,5.7046589674e-12,9.5500170514e-01
3.7150966679e-01,-9.5135104408e-01,0.0000000000e+00,-9.5135104408e-01,5.7819304899e-12,9.5135104408e-01
3.7342466679e-01,-9.4771433832e-01,0.0000000000e+00,-9.4771433832e-01,5.8566484995e-12,9.4771433832e-01
3.7533966679e-01,-9.4409153450e-01,0.0000000000e+00,-9.4409153450e-01,5.9344751335e-12,9.4409153450e-01
3.7725466679e-01,-9.4048257948e-01,0.0000000000e+00,-9.4048257949e-01,6.0135230129e-12,9.4048257949e-01
3.7916966679e-01,-9.3688742033e-01,0.0000000000e+00,-9.3688742033e-01,6.0875748886e-12,9.3688742033e-01
3.8108466679e-01,-9.3330600430e-01,0.0000000000e+00,-9.3330600430e-01,6.1556315600e-12,9.3330600430e-01
3.8299966679e-01,-9.2973827885e-01,0.0000000000e+00,-9.2973827886e-01,6.2240212984e-12,9.2973827886e-01
3.8491466679e-01,-9.2618419167e-01,0.0000000000e+00,-9.2618419167e-01,6.2950755719e-12,9.2618419167e-01
3.8682966679e-01,-9.2264369060e-01,0.0000000000e+00,-9.2264369061e-01,6.3644645110e-12,9.2264369061e-01
3.8874466679e-01,-9.1911672372e-01,0.0000000000e+00,-9.1911672373e-01,6.4381833198e-12,9.1911672373e-01
3.9065966679e-01,-9.1560323929e-01,0.0000000000e+00,-9.1560323929e-01,6.5026872775e-12,9.1560323929e-01
3.9257466679e-01,-9.1210318576e-01,0.0000000000e+00,-9.1210318577e-01,6.5697447482e-12,9.1210318577e-01
3.9448966679e-01,-9.0861651180e-01,0.0000000000e+00,-9.0861651181e-01,6.6322503045e-12,9.0861651181e-01
3.9640466679e-01,-9.0514316626e-01,0.0000000000e+00,-9.0514316627e-01,6.6983085745e-12,9.0514316627e-01
3.9831966679e-01,-9.0168309820e-01,0.0000000000e+00,-9.0168309820e-01,6.7654770675e-12,9.0168309820e-01
4.0023466679e-01,-8.9823625685e-01,0.0000000000e+00,-8.9823625685e-01,6.8297589806e-12,8.9823625685e-01
4.0214966679e-01,-8.9480259165e-01,0.0000000000e+00,-8.9480259165e-01,6.8948180498e-12,8.9480259165e-01
4.0406466679e-01,-8.9138205224e-01,0.0000000000e+00,-8.9138205224e-01,6.9585448514e-12,8.9138205224e-01
4.0597966679e-01,-8.8797458843e-01,0.0000000000e+00,-8.8797458844e-01,7.0244920991e-12,8.8797458844e-01
4.0789466679e-01,-8.8458015026e-01,0.0000000000e+00,-8.8458015027e-01,7.0907724137e-12,8.8458015027e-01
4.0980966679e-01,-8.8119868792e-01,0.0000000000e+00,-8.8119868793e-01,7.1546102376e-12,8.8119868793e-01
4.1172466679e-01,-8.7783015181e-01,0.0000000000e+00,-8.7783015181e-01,7.2170047716e-12,8.7783015181e-01
4.1363966679e-01,-8.7447449252e-01,0.0000000000e+00,-8.7447449252e-01,7.2803985063e-12,8.7447449252e-01
4.1555466679e-01,-8.7113166082e-01,0.0000000000e+00,-8.7113166083e-01,7.3433481518e-12,8.7113166083e-01
4.1746966679e-01,-8.6780160768e-01,0.0000000000e+00,-8.6780160769e-01,7.4034112174e-12,8.6780160769e-01
4.1938466679e-01,-8.6448428425e-01,0.0000000000e+00,-8.6448428426e-01,7.4585893017e-12,8.6448428426e-01
4.2129966679e-01,-8.6117964187e-01,0.0000000000e+00,-8.6117964188e-01,7.5219830364e-12,8.6117964188e-01
4.2321466679e-01,-8.5788763207e-01,0.0000000000e+00,-8.5788763208e-01,7.5812689460e-12,8.5788763208e-01
4.2512966679e-01,-8.5460820655e-01,0.0000000000e+00,-8.5460820655e-01,7.6416650785e-12,8.5460820655e-01
