t,x(t),dx/dt
2.4099999999e+01,2.3947473950e+01,9.8780432450e-01
2.4199999999e+01,2.4046251820e+01,9.8775306781e-01
2.4299999999e+01,2.4145024563e+01,9.8770180569e-01
2.4399999999e+01,2.4243792181e+01,9.8765053815e-01
2.4499999999e+01,2.4342554671e+01,9.8759926519e-01
2.4599999999e+01,2.4441312034e+01,9.8754798680e-01
2.4699999999e+01,2.4540064268e+01,9.8749670298e-01
2.4799999999e+01,2.4638811374e+01,9.8744541373e-01
2.4899999999e+01,2.4737553351e+01,9.8739411905e-01
2.4999999999e+01,2.4836290198e+01,9.8734281893e-01
2.5099999999e+01,2.4935021914e+01,9.8729151338e-01
2.5199999999e+01,2.5033748500e+01,9.8724020239e-01
2.5299999999e+01,2.5132469955e+01,9.8718888596e-01
2.5399999999e+01,2.5231186277e+01,9.8713756409e-01
2.5499999999e+01,2.5329897467e+01,9.8708623678e-01
2.5599999999e+01,2.5428603524e+01,9.8703490402e-01
2.5699999999e+01,2.5527304448e+01,9.8698356581e-01
2.5799999999e+01,2.5626000237e+01,9.8693222216e-01
2.5899999999e+01,2.5724690892e+01,9.8688087305e-01
2.5999999999e+01,2.5823376412e+01,9.8682951849e-01
2.6099999999e+01,2.5922056796e+01,9.8677815848e-01
2.6199999999e+01,2.6020732043e+01,9.8672679301e-01
2.6299999999e+01,2.6119402154e+01,9.8667542208e-01
2.6399999999e+01,2.6218067127e+01,9.8662404569e-01
2.6499999999e+01,2.6316726963e+01,9.8657266384e-01
2.6599999999e+01,2.6415381660e+01,9.8652127652e-01
2.6699999999e+01,2.6514031218e+01,9.8646988374e-01
2.6799999999e+01,2.6612675637e+01,9.8641848549e-01
2.6899999999e+01,2.6711314915e+01,9.8636708177e-01
2.6999999999e+01,2.6809949053e+01,9.8631567258e-01
2.7099999999e+01,2.6908578049e+01,9.8626425791e-01
2.7199999999e+01,2.7007201904e+01,9.8621283777e-01
2.7299999999e+01,2.7105820617e+01,9.8616141215e-01
2.7399999999e+01,2.7204434186e+01,9.8610998106e-01
2.7499999999e+01,2.7303042613e+01,9.8605854448e-01
2.7599999999e+01,2.7401645895e+01,9.8600710242e-01
2.7699999999e+01,2.7500244033e+01,9.8595565487e-01
2.7799999999e+01,2.7598837026e+01,9.8590420183e-01
2.7899999999e+01,2.7697424873e+01,9.8585274331e-01
2.7999999999e+01,2.7796007574e+01,9.8580127930e-01
2.8099999999e+01,2.7894585129e+01,9.8574980979e-01
2.8199999999e+01,2.7993157536e+01,9.8569833479e-01
2.8299999999e+01,2.8091724796e+01,9.8564685430e-01
2.8399999999e+01,2.8190286907e+01,9.8559536830e-01
2.8499999999e+01,2.8288843869e+01,9.8554387681e-01
2.8599999999e+01,2.8387395682e+01,9.8549237981e-01
2.8699999999e+01,2.8485942345e+01,9.8544087731e-01
2.8799999999e+01,2.8584483857e+01,9.8538936930e-01
2.8899999999e+01,2.8683020219e+01,9.8533785579e-01
2.8999999999e+01,2.8781551428e+01,9.8528633676e-01
2.9099999999e+01,2.8880077486e+01,9.8523481222e-01
2.9199999999e+01,2.8978598391e+01,9.8518328217e-01
2.9299999999e+01,2.9077114142e+01,9.8513174661e-01
2.9399999999e+01,2.9175624740e+01,9.8508020552e-01
2.9499999999e+01,2.9274130183e+01,9.8502865892e-01
2.9599999999e+01,2.9372630471e+01,9.8497710680e-01
2.9699999999e+01,2.9471125604e+01,9.8492554915e-01
2.9799999999e+01,2.9569615581e+01,9.8487398598e-01
2.9899999999e+01,2.9668100401e+01,9.8482241728e-01
2.9999999999e+01,2.9766580064e+01,9.8477084305e-01
3.0099999999e+01,2.9865054570e+01,9.8471926329e-01
3.0199999999e+01,2.9963523917e+01,9.8466767800e-01
3.0299999999e+01,3.0061988105e+01,9.8461608717e-01
3.0399999999e+01,3.0160447134e+01,9.8456449081e-01
3.0499999999e+01,3.0258901003e+01,9.8451288890e-01
3.0599999999e+01,3.0357349712e+01,9.8446128146e-01
3.0699999999e+01,3.0455793259e+01,9.8440966847e-01
3.0799999999e+01,3.0554231645e+01,9.8435804994e-01
3.0899999999e+01,3.0652664869e+01,9.8430642587e-01
3.0999999999e+01,3.0751092930e+01,9.8425479624e-01
3.1099999999e+01,3.0849515828e+01,9.8420316107e-01
