ИНТЕГРАЛ БЫСТРООСЦИЛЛИРУЮЩЕЙ ФУНКЦИИ
I = int_0^3 sin(100x) * exp(-x²) * cos(2x) dx

СРАВНЕНИЕ МЕТОДОВ ЧИСЛЕННОГО ИНТЕГРИРОВАНИЯ
===========================================
Метод средних прямоугольников: 1.000610161032e-02
Метод трапеций: 1.000609036036e-02
Метод Симпсона: 1.000609786034e-02
Правило 3/8       : 1.000609786034e-02
Гаусс 2 узла    : 1.603107174135e-01
Гаусс 3 узла    : 4.936702473578e-01
Гаусс 4 узла    : 5.658937687533e-01

АНАЛИЗ СХОДИМОСТИ МЕТОДА СИМПСОНА:
N		I_h				Погрешность (правило Рунге)
1000		1.000655355964e-02		0.000000000000e+00
2000		1.000612611145e-02		2.849654580361e-08
4000		1.000609962246e-02		1.765932672431e-09
8000		1.000609797041e-02		1.101369665607e-10
16000		1.000609786721e-02		6.879906251182e-12
32000		1.000609786076e-02		4.299398799941e-13
64000		1.000609786036e-02		2.687306395928e-14

ДАННЫЕ ДЛЯ ГРАФИКА ФУНКЦИИ:
x		f(x)
3.060000000000e-01		-5.428751628165e-01
3.090000000000e-01		-3.654758377325e-01
3.120000000000e-01		-1.577480969123e-01
3.150000000000e-01		6.144414050424e-02
3.180000000000e-01		2.724461269162e-01
3.210000000000e-01		4.565773135857e-01
3.240000000000e-01		5.977874759533e-01
3.270000000000e-01		6.840569112263e-01
3.300000000000e-01		7.084184626883e-01
3.330000000000e-01		6.695145858323e-01
3.360000000000e-01		5.716454889815e-01
3.390000000000e-01		4.243106096194e-01
3.420000000000e-01		2.412911228315e-01
3.450000000000e-01		3.936174010859e-02
3.480000000000e-01		-1.632478434073e-01
3.510000000000e-01		-3.485006369110e-01
3.540000000000e-01		-5.001600739588e-01
3.570000000000e-01		-6.052142832038e-01
3.600000000000e-01		-6.549918711626e-01
3.630000000000e-01		-6.458736067887e-01
3.660000000000e-01		-5.795420110227e-01
3.690000000000e-01		-4.627531521117e-01
3.720000000000e-01		-3.066580546026e-01
3.750000000000e-01		-1.257411530089e-01
3.780000000000e-01		6.352340002799e-02
3.810000000000e-01		2.441729366574e-01
3.840000000000e-01		4.002780889422e-01
3.870000000000e-01		5.183485466618e-01
3.900000000000e-01		5.884986039291e-01
3.930000000000e-01		6.052718296196e-01
3.960000000000e-01		5.680563750301e-01
3.990000000000e-01		4.810602669457e-01
4.020000000000e-01		3.528560282230e-01
4.050000000000e-01		1.955424832383e-01
4.080000000000e-01		2.360519474270e-02
4.110000000000e-01		-1.474173062477e-01
4.140000000000e-01		-3.023386848703e-01
4.170000000000e-01		-4.276742073093e-01
4.200000000000e-01		-5.128144050654e-01
4.230000000000e-01		-5.509208649075e-01
4.260000000000e-01		-5.394687433610e-01
4.290000000000e-01		-4.803936601203e-01
4.320000000000e-01		-3.798369133237e-01
4.350000000000e-01		-2.475191520271e-01
4.380000000000e-01		-9.580547459416e-02
4.410000000000e-01		6.144850616125e-02
4.440000000000e-01		2.101620644277e-01
4.470000000000e-01		3.372906549272e-01
4.500000000000e-01		4.319700734339e-01
4.530000000000e-01		4.864431407023e-01
4.560000000000e-01		4.966900459905e-01
