# t = 1.00000000e-02, y = 5.00000000e-01
# x phi_numerical phi_analytical
6.10610611e-02 9.81142561e-01 9.81172865e-01
6.20620621e-02 9.80538467e-01 9.80568751e-01
6.30630631e-02 9.79924675e-01 9.79954940e-01
6.40640641e-02 9.79301192e-01 9.79331438e-01
6.50650651e-02 9.78668025e-01 9.78698251e-01
6.60660661e-02 9.78025179e-01 9.78055386e-01
6.70670671e-02 9.77372661e-01 9.77402848e-01
6.80680681e-02 9.76710478e-01 9.76740644e-01
6.90690691e-02 9.76038635e-01 9.76068781e-01
7.00700701e-02 9.75357140e-01 9.75387265e-01
7.10710711e-02 9.74666000e-01 9.74696103e-01
7.20720721e-02 9.73965221e-01 9.73995302e-01
7.30730731e-02 9.73254809e-01 9.73284869e-01
7.40740741e-02 9.72534773e-01 9.72564811e-01
7.50750751e-02 9.71805119e-01 9.71835134e-01
7.60760761e-02 9.71065855e-01 9.71095847e-01
7.70770771e-02 9.70316987e-01 9.70346956e-01
7.80780781e-02 9.69558524e-01 9.69588469e-01
7.90790791e-02 9.68790472e-01 9.68820394e-01
8.00800801e-02 9.68012840e-01 9.68042737e-01
8.10810811e-02 9.67225634e-01 9.67255508e-01
8.20820821e-02 9.66428864e-01 9.66458712e-01
8.30830831e-02 9.65622535e-01 9.65652359e-01
8.40840841e-02 9.64806658e-01 9.64836457e-01
8.50850851e-02 9.63981239e-01 9.64011012e-01
8.60860861e-02 9.63146287e-01 9.63176034e-01
8.70870871e-02 9.62301810e-01 9.62331531e-01
8.80880881e-02 9.61447817e-01 9.61477512e-01
8.90890891e-02 9.60584315e-01 9.60613983e-01
9.00900901e-02 9.59711314e-01 9.59740955e-01
9.10910911e-02 9.58828822e-01 9.58858436e-01
9.20920921e-02 9.57936848e-01 9.57966434e-01
9.30930931e-02 9.57035400e-01 9.57064959e-01
9.40940941e-02 9.56124488e-01 9.56154018e-01
9.50950951e-02 9.55204120e-01 9.55233622e-01
9.60960961e-02 9.54274306e-01 9.54303780e-01
9.70970971e-02 9.53335055e-01 9.53364500e-01
9.80980981e-02 9.52386376e-01 9.52415791e-01
9.90990991e-02 9.51428279e-01 9.51457664e-01
1.00100100e-01 9.50460772e-01 9.50490128e-01
1.01101101e-01 9.49483866e-01 9.49513192e-01
1.02102102e-01 9.48497570e-01 9.48526865e-01
1.03103103e-01 9.47501895e-01 9.47531159e-01
1.04104104e-01 9.46496849e-01 9.46526082e-01
1.05105105e-01 9.45482442e-01 9.45511644e-01
1.06106106e-01 9.44458686e-01 9.44487856e-01
1.07107107e-01 9.43425589e-01 9.43454728e-01
1.08108108e-01 9.42383163e-01 9.42412269e-01
1.09109109e-01 9.41331417e-01 9.41360490e-01
1.10110110e-01 9.40270362e-01 9.40299402e-01
1.11111111e-01 9.39200008e-01 9.39229015e-01
1.12112112e-01 9.38120366e-01 9.38149340e-01
1.13113113e-01 9.37031446e-01 9.37060387e-01
1.14114114e-01 9.35933260e-01 9.35962167e-01
1.15115115e-01 9.34825819e-01 9.34854691e-01
1.16116116e-01 9.33709132e-01 9.33737970e-01
1.17117117e-01 9.32583211e-01 9.32612015e-01
1.18118118e-01 9.31448068e-01 9.31476837e-01
1.19119119e-01 9.30303714e-01 9.30332447e-01
1.20120120e-01 9.29150159e-01 9.29178857e-01
1.21121121e-01 9.27987416e-01 9.28016077e-01
1.22122122e-01 9.26815495e-01 9.26844121e-01
1.23123123e-01 9.25634409e-01 9.25662998e-01
1.24124124e-01 9.24444169e-01 9.24472721e-01
1.25125125e-01 9.23244787e-01 9.23273302e-01
1.26126126e-01 9.22036274e-01 9.22064752e-01
1.27127127e-01 9.20818643e-01 9.20847083e-01
1.28128128e-01 9.19591906e-01 9.19620308e-01
1.29129129e-01 9.18356075e-01 9.18384439e-01
1.30130130e-01 9.17111161e-01 9.17139487e-01
1.31131131e-01 9.15857178e-01 9.15885465e-01
1.32132132e-01 9.14594138e-01 9.14622386e-01
1.33133133e-01 9.13322053e-01 9.13350261e-01
1.34134134e-01 9.12040936e-01 9.12069105e-01
1.35135135e-01 9.10750799e-01 9.10778928e-01
1.36136136e-01 9.09451656e-01 9.09479745e-01
1.37137137e-01 9.08143518e-01 9.08171567e-01
1.38138138e-01 9.06826400e-01 9.06854408e-01
1.39139139e-01 9.05500314e-01 9.05528281e-01
1.40140140e-01 9.04165273e-01 9.04193198e-01
1.41141141e-01 9.02821290e-01 9.02849174e-01
1.42142142e-01 9.01468379e-01 9.01496221e-01
1.43143143e-01 9.00106553e-01 9.00134353e-01
1.44144144e-01 8.98735825e-01 8.98763583e-01
1.45145145e-01 8.97356210e-01 8.97383925e-01
1.46146146e-01 8.95967720e-01 8.95995393e-01
1.47147147e-01 8.94570370e-01 8.94597999e-01
1.48148148e-01 8.93164173e-01 8.93191759e-01
1.49149149e-01 8.91749143e-01 8.91776686e-01
1.50150150e-01 8.90325295e-01 8.90352793e-01
1.51151151e-01 8.88892641e-01 8.88920095e-01
1.52152152e-01 8.87451197e-01 8.87478607e-01
1.53153153e-01 8.86000977e-01 8.86028342e-01
1.54154154e-01 8.84541995e-01 8.84569315e-01
1.55155155e-01 8.83074265e-01 8.83101539e-01
1.56156156e-01 8.81597802e-01 8.81625031e-01
1.57157157e-01 8.80112621e-01 8.80139804e-01
1.58158158e-01 8.78618736e-01 8.78645873e-01
1.59159159e-01 8.77116162e-01 8.77143252e-01
1.60160160e-01 8.75604914e-01 8.75631957e-01
1.61161161e-01 8.74085006e-01 8.74112003e-01
1.62162162e-01 8.72556455e-01 8.72583404e-01
1.63163163e-01 8.71019274e-01 8.71046176e-01
1.64164164e-01 8.69473480e-01 8.69500334e-01
1.65165165e-01 8.67919087e-01 8.67945893e-01
1.66166166e-01 8.66356111e-01 8.66382869e-01
1.67167167e-01 8.64784567e-01 8.64811277e-01
1.68168168e-01 8.63204471e-01 8.63231132e-01
1.69169169e-01 8.61615839e-01 8.61642450e-01
1.70170170e-01 8.60018685e-01 8.60045248e-01
1.71171171e-01 8.58413027e-01 8.58439540e-01
1.72172172e-01 8.56798880e-01 8.56825342e-01
1.73173173e-01 8.55176259e-01 8.55202672e-01
1.74174174e-01 8.53545181e-01 8.53571543e-01
1.75175175e-01 8.51905662e-01 8.51931974e-01
1.76176176e-01 8.50257718e-01 8.50283979e-01
1.77177177e-01 8.48601366e-01 8.48627576e-01
1.78178178e-01 8.46936622e-01 8.46962780e-01
1.79179179e-01 8.45263502e-01 8.45289608e-01
1.80180180e-01 8.43582023e-01 8.43608077e-01
1.81181181e-01 8.41892201e-01 8.41918204e-01
1.82182182e-01 8.40194054e-01 8.40220004e-01
1.83183183e-01 8.38487597e-01 8.38513495e-01
1.84184184e-01 8.36772849e-01 8.36798693e-01
1.85185185e-01 8.35049825e-01 8.35075616e-01
1.86186186e-01 8.33318544e-01 8.33344281e-01
1.87187187e-01 8.31579021e-01 8.31604705e-01
1.88188188e-01 8.29831274e-01 8.29856904e-01
1.89189189e-01 8.28075321e-01 8.28100897e-01
1.90190190e-01 8.26311179e-01 8.26336700e-01
1.91191191e-01 8.24538865e-01 8.24564332e-01
1.92192192e-01 8.22758397e-01 8.22783809e-01
1.93193193e-01 8.20969793e-01 8.20995149e-01
1.94194194e-01 8.19173069e-01 8.19198370e-01
1.95195195e-01 8.17368245e-01 8.17393490e-01
1.96196196e-01 8.15555337e-01 8.15580526e-01
1.97197197e-01 8.13734364e-01 8.13759496e-01
1.98198198e-01 8.11905343e-01 8.11930420e-01
1.99199199e-01 8.10068294e-01 8.10093313e-01
2.00200200e-01 8.08223233e-01 8.08248195e-01
2.01201201e-01 8.06370179e-01 8.06395085e-01
2.02202202e-01 8.04509151e-01 8.04533999e-01
2.03203203e-01 8.02640167e-01 8.02664957e-01
2.04204204e-01 8.00763245e-01 8.00787978e-01
2.05205205e-01 7.98878405e-01 7.98903079e-01
2.06206206e-01 7.96985664e-01 7.97010279e-01
2.07207207e-01 7.95085041e-01 7.95109597e-01
2.08208208e-01 7.93176555e-01 7.93201053e-01
2.09209209e-01 7.91260225e-01 7.91284664e-01
2.10210210e-01 7.89336070e-01 7.89360450e-01
2.11211211e-01 7.87404110e-01 7.87428429e-01
2.12212212e-01 7.85464362e-01 7.85488621e-01
2.13213213e-01 7.83516846e-01 7.83541046e-01
2.14214214e-01 7.81561582e-01 7.81585721e-01
2.15215215e-01 7.79598589e-01 7.79622668e-01
2.16216216e-01 7.77627886e-01 7.77651904e-01
2.17217217e-01 7.75649493e-01 7.75673450e-01
2.18218218e-01 7.73663429e-01 7.73687324e-01
2.19219219e-01 7.71669714e-01 7.71693548e-01
2.20220220e-01 7.69668368e-01 7.69692140e-01
2.21221221e-01 7.67659411e-01 7.67683120e-01
2.22222222e-01 7.65642861e-01 7.65666509e-01
2.23223223e-01 7.63618740e-01 7.63642325e-01
2.24224224e-01 7.61587067e-01 7.61610589e-01
2.25225225e-01 7.59547863e-01 7.59571322e-01
2.26226226e-01 7.57501147e-01 7.57524543e-01
2.27227227e-01 7.55446940e-01 7.55470272e-01
2.28228228e-01 7.53385262e-01 7.53408531e-01
2.29229229e-01 7.51316134e-01 7.51339339e-01
2.30230230e-01 7.49239575e-01 7.49262716e-01
2.31231231e-01 7.47155607e-01 7.47178684e-01
2.32232232e-01 7.45064250e-01 7.45087262e-01
2.33233233e-01 7.42965525e-01 7.42988472e-01
2.34234234e-01 7.40859453e-01 7.40882335e-01
2.35235235e-01 7.38746053e-01 7.38768870e-01
2.36236236e-01 7.36625349e-01 7.36648100e-01
2.37237237e-01 7.34497359e-01 7.34520044e-01
2.38238238e-01 7.32362105e-01 7.32384725e-01
2.39239239e-01 7.30219609e-01 7.30242163e-01
2.40240240e-01 7.28069892e-01 7.28092379e-01
2.41241241e-01 7.25912975e-01 7.25935395e-01
2.42242242e-01 7.23748878e-01 7.23771232e-01
2.43243243e-01 7.21577624e-01 7.21599911e-01
2.44244244e-01 7.19399235e-01 7.19421454e-01
2.45245245e-01 7.17213731e-01 7.17235882e-01
2.46246246e-01 7.15021134e-01 7.15043218e-01
2.47247247e-01 7.12821466e-01 7.12843482e-01
2.48248248e-01 7.10614748e-01 7.10636696e-01
2.49249249e-01 7.08401003e-01 7.08422883e-01
2.50250250e-01 7.06180253e-01 7.06202064e-01
2.51251251e-01 7.03952519e-01 7.03974261e-01
2.52252252e-01 7.01717823e-01 7.01739496e-01
2.53253253e-01 6.99476187e-01 6.99497791e-01
2.54254254e-01 6.97227635e-01 6.97249169e-01
2.55255255e-01 6.94972187e-01 6.94993651e-01
2.56256256e-01 6.92709866e-01 6.92731261e-01
2.57257257e-01 6.90440695e-01 6.90462019e-01
2.58258258e-01 6.88164696e-01 6.88185950e-01
2.59259259e-01 6.85881891e-01 6.85903075e-01
2.60260260e-01 6.83592303e-01 6.83613416e-01
2.61261261e-01 6.81295955e-01 6.81316997e-01
2.62262262e-01 6.78992870e-01 6.79013841e-01
2.63263263e-01 6.76683069e-01 6.76703969e-01
2.64264264e-01 6.74366577e-01 6.74387405e-01
2.65265265e-01 6.72043416e-01 6.72064172e-01
2.66266266e-01 6.69713608e-01 6.69734293e-01
2.67267267e-01 6.67377178e-01 6.67397790e-01
2.68268268e-01 6.65034147e-01 6.65054687e-01
2.69269269e-01 6.62684540e-01 6.62705007e-01
2.70270270e-01 6.60328379e-01 6.60348774e-01
2.71271271e-01 6.57965688e-01 6.57986010e-01
2.72272272e-01 6.55596490e-01 6.55616739e-01
2.73273273e-01 6.53220809e-01 6.53240984e-01
2.74274274e-01 6.50838668e-01 6.50858770e-01
2.75275275e-01 6.48450090e-01 6.48470118e-01
2.76276276e-01 6.46055100e-01 6.46075054e-01
2.77277277e-01 6.43653721e-01 6.43673600e-01
2.78278278e-01 6.41245976e-01 6.41265781e-01
2.79279279e-01 6.38831890e-01 6.38851620e-01
2.80280280e-01 6.36411486e-01 6.36431142e-01
2.81281281e-01 6.33984788e-01 6.34004369e-01
2.82282282e-01 6.31551821e-01 6.31571327e-01
2.83283283e-01 6.29112608e-01 6.29132038e-01
2.84284284e-01 6.26667173e-01 6.26686528e-01
2.85285285e-01 6.24215542e-01 6.24234821e-01
2.86286286e-01 6.21757737e-01 6.21776940e-01
2.87287287e-01 6.19293783e-01 6.19312910e-01
2.88288288e-01 6.16823705e-01 6.16842756e-01
2.89289289e-01 6.14347527e-01 6.14366501e-01
2.90290290e-01 6.11865273e-01 6.11884171e-01
2.91291291e-01 6.09376968e-01 6.09395789e-01
2.92292292e-01 6.06882638e-01 6.06901381e-01
2.93293293e-01 6.04382305e-01 6.04400972e-01
2.94294294e-01 6.01875995e-01 6.01894585e-01
2.95295295e-01 5.99363734e-01 5.99382245e-01
2.96296296e-01 5.96845544e-01 5.96863978e-01
2.97297297e-01 5.94321453e-01 5.94339809e-01
2.98298298e-01 5.91791484e-01 5.91809762e-01
2.99299299e-01 5.89255663e-01 5.89273862e-01
3.00300300e-01 5.86714014e-01 5.86732135e-01
3.01301301e-01 5.84166563e-01 5.84184605e-01
3.02302302e-01 5.81613335e-01 5.81631298e-01
3.03303303e-01 5.79054355e-01 5.79072239e-01
3.04304304e-01 5.76489649e-01 5.76507454e-01
3.05305305e-01 5.73919241e-01 5.73936967e-01
3.06306306e-01 5.71343158e-01 5.71360804e-01
3.07307307e-01 5.68761425e-01 5.68778991e-01
3.08308308e-01 5.66174067e-01 5.66191553e-01
3.09309309e-01 5.63581110e-01 5.63598516e-01
3.10310310e-01 5.60982579e-01 5.60999905e-01
3.11311311e-01 5.58378501e-01 5.58395747e-01
3.12312312e-01 5.55768900e-01 5.55786066e-01
3.13313313e-01 5.53153804e-01 5.53170888e-01
3.14314314e-01 5.50533237e-01 5.50550240e-01
3.15315315e-01 5.47907226e-01 5.47924148e-01
3.16316316e-01 5.45275796e-01 5.45292637e-01
3.17317317e-01 5.42638974e-01 5.42655733e-01
3.18318318e-01 5.39996785e-01 5.40013463e-01
3.19319319e-01 5.37349256e-01 5.37365853e-01
3.20320320e-01 5.34696413e-01 5.34712928e-01
3.21321321e-01 5.32038283e-01 5.32054715e-01
3.22322322e-01 5.29374891e-01 5.29391241e-01
3.23323323e-01 5.26706263e-01 5.26722531e-01
3.24324324e-01 5.24032427e-01 5.24048612e-01
3.25325325e-01 5.21353409e-01 5.21369511e-01
3.26326326e-01 5.18669234e-01 5.18685254e-01
3.27327327e-01 5.15979931e-01 5.15995867e-01
3.28328328e-01 5.13285524e-01 5.13301377e-01
3.29329329e-01 5.10586042e-01 5.10601812e-01
3.30330330e-01 5.07881510e-01 5.07897196e-01
3.31331331e-01 5.05171956e-01 5.05187558e-01
3.32332332e-01 5.02457405e-01 5.02472924e-01
3.33333333e-01 4.99737886e-01 4.99753321e-01
3.34334334e-01 4.97013425e-01 4.97028775e-01
3.35335335e-01 4.94284048e-01 4.94299315e-01
3.36336336e-01 4.91549784e-01 4.91564965e-01
3.37337337e-01 4.88810658e-01 4.88825755e-01
3.38338338e-01 4.86066698e-01 4.86081711e-01
3.39339339e-01 4.83317931e-01 4.83332859e-01
3.40340340e-01 4.80564385e-01 4.80579228e-01
3.41341341e-01 4.77806086e-01 4.77820844e-01
3.42342342e-01 4.75043062e-01 4.75057734e-01
3.43343343e-01 4.72275340e-01 4.72289927e-01
3.44344344e-01 4.69502948e-01 4.69517449e-01
3.45345345e-01 4.66725912e-01 4.66740327e-01
3.46346346e-01 4.63944261e-01 4.63958590e-01
3.47347347e-01 4.61158022e-01 4.61172265e-01
3.48348348e-01 4.58367222e-01 4.58381379e-01
3.49349349e-01 4.55571889e-01 4.55585960e-01
3.50350350e-01 4.52772051e-01 4.52786035e-01
3.51351351e-01 4.49967735e-01 4.49981633e-01
3.52352352e-01 4.47158970e-01 4.47172781e-01
3.53353353e-01 4.44345782e-01 4.44359506e-01
3.54354354e-01 4.41528200e-01 4.41541837e-01
3.55355355e-01 4.38706252e-01 4.38719801e-01
3.56356356e-01 4.35879965e-01 4.35893427e-01
3.57357357e-01 4.33049367e-01 4.33062742e-01
3.58358358e-01 4.30214487e-01 4.30227774e-01
3.59359359e-01 4.27375352e-01 4.27388552e-01
3.60360360e-01 4.24531991e-01 4.24545103e-01
3.61361361e-01 4.21684431e-01 4.21697456e-01
3.62362362e-01 4.18832702e-01 4.18845638e-01
3.63363363e-01 4.15976830e-01 4.15989678e-01
3.64364364e-01 4.13116845e-01 4.13129604e-01
3.65365365e-01 4.10252774e-01 4.10265445e-01
3.66366366e-01 4.07384646e-01 4.07397228e-01
3.67367367e-01 4.04512489e-01 4.04524982e-01
3.68368368e-01 4.01636332e-01 4.01648736e-01
3.69369369e-01 3.98756203e-01 3.98768518e-01
3.70370370e-01 3.95872130e-01 3.95884357e-01
3.71371371e-01 3.92984142e-01 3.92996280e-01
3.72372372e-01 3.90092269e-01 3.90104317e-01
3.73373373e-01 3.87196537e-01 3.87208496e-01
3.74374374e-01 3.84296976e-01 3.84308845e-01
3.75375375e-01 3.81393615e-01 3.81405395e-01
3.76376376e-01 3.78486482e-01 3.78498172e-01
3.77377377e-01 3.75575606e-01 3.75587206e-01
3.78378378e-01 3.72661016e-01 3.72672526e-01
3.79379379e-01 3.69742740e-01 3.69754160e-01
3.80380380e-01 3.66820808e-01 3.66832138e-01
3.81381381e-01 3.63895249e-01 3.63906488e-01
3.82382382e-01 3.60966090e-01 3.60977239e-01
3.83383383e-01 3.58033362e-01 3.58044420e-01
3.84384384e-01 3.55097093e-01 3.55108061e-01
3.85385385e-01 3.52157313e-01 3.52168190e-01
3.86386386e-01 3.49214050e-01 3.49224836e-01
3.87387387e-01 3.46267333e-01 3.46278028e-01
3.88388388e-01 3.43317192e-01 3.43327796e-01
3.89389389e-01 3.40363656e-01 3.40374169e-01
3.90390390e-01 3.37406754e-01 3.37417175e-01
3.91391391e-01 3.34446515e-01 3.34456845e-01
3.92392392e-01 3.31482969e-01 3.31493207e-01
3.93393393e-01 3.28516144e-01 3.28526291e-01
3.94394394e-01 3.25546071e-01 3.25556126e-01
3.95395395e-01 3.22572778e-01 3.22582741e-01
3.96396396e-01 3.19596295e-01 3.19606166e-01
3.97397397e-01 3.16616652e-01 3.16626431e-01
3.98398398e-01 3.13633877e-01 3.13643564e-01
3.99399399e-01 3.10648001e-01 3.10657596e-01
4.00400400e-01 3.07659053e-01 3.07668555e-01
4.01401401e-01 3.04667062e-01 3.04676472e-01
4.02402402e-01 3.01672058e-01 3.01681376e-01
4.03403403e-01 2.98674071e-01 2.98683296e-01
4.04404404e-01 2.95673130e-01 2.95682262e-01
4.05405405e-01 2.92669265e-01 2.92678305e-01
4.06406406e-01 2.89662506e-01 2.89671453e-01
4.07407407e-01 2.86652882e-01 2.86661736e-01
4.08408408e-01 2.83640424e-01 2.83649184e-01
4.09409409e-01 2.80625160e-01 2.80633828e-01
4.10410410e-01 2.77607121e-01 2.77615696e-01
4.11411411e-01 2.74586337e-01 2.74594818e-01
4.12412412e-01 2.71562838e-01 2.71571225e-01
4.13413413e-01 2.68536652e-01 2.68544946e-01
4.14414414e-01 2.65507811e-01 2.65516012e-01
4.15415415e-01 2.62476345e-01 2.62484452e-01
4.16416416e-01 2.59442283e-01 2.59450296e-01
4.17417417e-01 2.56405654e-01 2.56413574e-01
4.18418418e-01 2.53366491e-01 2.53374316e-01
4.19419419e-01 2.50324821e-01 2.50332553e-01
4.20420420e-01 2.47280676e-01 2.47288314e-01
4.21421421e-01 2.44234086e-01 2.44241629e-01
4.22422422e-01 2.41185080e-01 2.41192530e-01
4.23423423e-01 2.38133690e-01 2.38141045e-01
4.24424424e-01 2.35079944e-01 2.35087204e-01
4.25425425e-01 2.32023873e-01 2.32031039e-01
4.26426426e-01 2.28965508e-01 2.28972580e-01
4.27427427e-01 2.25904878e-01 2.25911856e-01
4.28428428e-01 2.22842015e-01 2.22848897e-01
4.29429429e-01 2.19776947e-01 2.19783735e-01
4.30430430e-01 2.16709707e-01 2.16716400e-01
4.31431431e-01 2.13640323e-01 2.13646921e-01
4.32432432e-01 2.10568826e-01 2.10575330e-01
4.33433433e-01 2.07495247e-01 2.07501656e-01
4.34434434e-01 2.04419616e-01 2.04425930e-01
4.35435435e-01 2.01341963e-01 2.01348182e-01
4.36436436e-01 1.98262319e-01 1.98268443e-01
4.37437437e-01 1.95180715e-01 1.95186743e-01
4.38438438e-01 1.92097180e-01 1.92103113e-01
4.39439439e-01 1.89011746e-01 1.89017584e-01
4.40440440e-01 1.85924442e-01 1.85930185e-01
4.41441441e-01 1.82835300e-01 1.82840947e-01
4.42442442e-01 1.79744349e-01 1.79749901e-01
4.43443443e-01 1.76651621e-01 1.76657077e-01
4.44444444e-01 1.73557146e-01 1.73562507e-01
4.45445445e-01 1.70460955e-01 1.70466220e-01
4.46446446e-01 1.67363078e-01 1.67368247e-01
4.47447447e-01 1.64263546e-01 1.64268619e-01
4.48448448e-01 1.61162389e-01 1.61167367e-01
4.49449449e-01 1.58059639e-01 1.58064520e-01
4.50450450e-01 1.54955325e-01 1.54960111e-01
4.51451451e-01 1.51849479e-01 1.51854169e-01
4.52452452e-01 1.48742131e-01 1.48746726e-01
4.53453453e-01 1.45633313e-01 1.45637811e-01
4.54454454e-01 1.42523054e-01 1.42527456e-01
4.55455455e-01 1.39411386e-01 1.39415692e-01
4.56456456e-01 1.36298339e-01 1.36302548e-01
4.57457457e-01 1.33183944e-01 1.33188057e-01
4.58458458e-01 1.30068232e-01 1.30072249e-01
4.59459459e-01 1.26951233e-01 1.26955154e-01
4.60460460e-01 1.23832980e-01 1.23836804e-01
4.61461461e-01 1.20713501e-01 1.20717230e-01
4.62462462e-01 1.17592829e-01 1.17596461e-01
4.63463463e-01 1.14470994e-01 1.14474530e-01
4.64464464e-01 1.11348027e-01 1.11351466e-01
4.65465465e-01 1.08223958e-01 1.08227301e-01
4.66466466e-01 1.05098820e-01 1.05102066e-01
4.67467467e-01 1.01972642e-01 1.01975792e-01
4.68468468e-01 9.88454556e-02 9.88485085e-02
4.69469469e-01 9.57172917e-02 9.57202480e-02
4.70470470e-01 9.25881812e-02 9.25910409e-02
4.71471471e-01 8.94581551e-02 8.94609181e-02
4.72472472e-01 8.63272443e-02 8.63299106e-02
4.73473473e-01 8.31954797e-02 8.31980493e-02
4.74474474e-01 8.00628925e-02 8.00653653e-02
4.75475475e-01 7.69295134e-02 7.69318895e-02
4.76476476e-01 7.37953736e-02 7.37976529e-02
4.77477477e-01 7.06605040e-02 7.06626864e-02
4.78478478e-01 6.75249355e-02 6.75270212e-02
4.79479479e-01 6.43886994e-02 6.43906881e-02
4.80480480e-01 6.12518264e-02 6.12537183e-02
4.81481481e-01 5.81143477e-02 5.81161427e-02
4.82482482e-01 5.49762943e-02 5.49779923e-02
4.83483483e-01 5.18376972e-02 5.18392983e-02
4.84484484e-01 4.86985875e-02 4.87000916e-02
4.85485485e-01 4.55589961e-02 4.55604033e-02
4.86486486e-01 4.24189543e-02 4.24202645e-02
4.87487487e-01 3.92784929e-02 3.92797061e-02
4.88488488e-01 3.61376431e-02 3.61387593e-02
4.89489489e-01 3.29964359e-02 3.29974551e-02
4.90490490e-01 2.98549024e-02 2.98558245e-02
4.91491491e-01 2.67130736e-02 2.67138987e-02
4.92492492e-01 2.35709807e-02 2.35717088e-02
4.93493493e-01 2.04286547e-02 2.04292857e-02
4.94494494e-01 1.72861266e-02 1.72866606e-02
4.95495495e-01 1.41434276e-02 1.41438645e-02
4.96496496e-01 1.10005887e-02 1.10009286e-02
4.97497497e-01 7.85764107e-03 7.85788382e-03
4.98498498e-01 4.71461570e-03 4.71476138e-03
4.99499499e-01 1.57154370e-03 1.57159231e-03
5.00500501e-01 -1.57154383e-03 -1.57159231e-03
5.01501502e-01 -4.71461583e-03 -4.71476138e-03
5.02502503e-01 -7.85764120e-03 -7.85788382e-03
5.03503504e-01 -1.10005889e-02 -1.10009286e-02
5.04504505e-01 -1.41434277e-02 -1.41438645e-02
5.05505506e-01 -1.72861267e-02 -1.72866606e-02
5.06506507e-01 -2.04286548e-02 -2.04292857e-02
5.07507508e-01 -2.35709808e-02 -2.35717088e-02
5.08508509e-01 -2.67130738e-02 -2.67138987e-02
5.09509510e-01 -2.98549025e-02 -2.98558245e-02
5.10510511e-01 -3.29964360e-02 -3.29974551e-02
5.11511512e-01 -3.61376432e-02 -3.61387593e-02
5.12512513e-01 -3.92784930e-02 -3.92797061e-02
5.13513514e-01 -4.24189544e-02 -4.24202645e-02
